,file,coords,breeding_habitat_count,area
0,aedes-habitats-central,"[[103.826791149079, 1.31845993476801, 0.0], [103.826791144354, 1.32026866408119, 0.0], [103.828588248814, 1.32026866818617, 0.0], [103.828588252241, 1.31845993886737, 0.0], [103.826791149079, 1.31845993476801, 0.0]]",1,40269.29362522152
1,aedes-habitats-central,"[[103.873517081308, 1.39442620679568, 0.0], [103.873517112, 1.39623493453236, 0.0], [103.875314272122, 1.3962349029315, 0.0], [103.875314240057, 1.39442617523578, 0.0], [103.873517081308, 1.39442620679568, 0.0]]",1,40269.23933657414
2,aedes-habitats-central,"[[103.855544895821, 1.32931221844706, 0.0], [103.855544911994, 1.33112094747626, 0.0], [103.85734202414, 1.33112093052862, 0.0], [103.857342006659, 1.32931220152246, 0.0], [103.855544895821, 1.32931221844706, 0.0]]",1,40269.28271159125
3,aedes-habitats-central,"[[103.853747874452, 1.340164607958, 0.0], [103.853747889437, 1.3419733368481, 0.0], [103.855545009495, 1.34197332109089, 0.0], [103.855544993189, 1.34016459222203, 0.0], [103.853747874452, 1.340164607958, 0.0]]",1,40269.27894073485
4,aedes-habitats-central,"[[103.824994045923, 1.3184599293633, 0.0], [103.8249940399, 1.32026865866906, 0.0], [103.826791144354, 1.32026866408119, 0.0], [103.826791149079, 1.31845993476801, 0.0], [103.824994045923, 1.3184599293633, 0.0]]",1,40269.293345590464
5,aedes-habitats-north-east,"[[103.904066874882, 1.32931129952978, 0.0], [103.904066926386, 1.33112002730822, 0.0], [103.905864037265, 1.33111997477739, 0.0], [103.905863984453, 1.32931124707035, 0.0], [103.904066874882, 1.32931129952978, 0.0]]",1,40269.225981426775
6,aedes-habitats-north-west,"[[103.835776782734, 1.4342185641501, 0.0], [103.835776784653, 1.43602729171007, 0.0], [103.837573975886, 1.43602728906609, 0.0], [103.837573972555, 1.43421856150946, 0.0], [103.835776782734, 1.4342185641501, 0.0]]",1,40269.24153187909
7,aedes-habitats-north-west,"[[103.778266630313, 1.43783535229756, 0.0], [103.778266586944, 1.43964407896071, 0.0], [103.780063780201, 1.43964412192239, 0.0], [103.780063822154, 1.43783539520524, 0.0], [103.778266630313, 1.43783535229756, 0.0]]",1,40269.20376793552
8,aedes-habitats-south-east,"[[103.954386263141, 1.33654423342831, 0.0], [103.954386351763, 1.33835295842355, 0.0], [103.956183465209, 1.33835286850558, 0.0], [103.956183375271, 1.33654414363191, 0.0], [103.954386263141, 1.33654423342831, 0.0]]",4,40269.1025902362
9,aedes-habitats-south-west,"[[103.693804434983, 1.3401606944129, 0.0], [103.693804332558, 1.34196941801931, 0.0], [103.695601447442, 1.34196952051117, 0.0], [103.695601548547, 1.34016079676657, 0.0], [103.693804434983, 1.3401606944129, 0.0]]",1,40269.04734398927
10,aedes-habitats-south-west,"[[103.747717261753, 1.35825045636276, 0.0], [103.747717198056, 1.36005918306542, 0.0], [103.74951432955, 1.36005924654274, 0.0], [103.749514391909, 1.35825051975562, 0.0], [103.747717261753, 1.35825045636276, 0.0]]",1,40269.187942461045
11,aedes-habitats-south-west,"[[103.733339399929, 1.3781458848942, 0.0], [103.733339324446, 1.37995461055545, 0.0], [103.735136470035, 1.37995468589176, 0.0], [103.735136544162, 1.37814596013173, 0.0], [103.733339399929, 1.3781458848942, 0.0]]",1,40269.14637209779
