,file,coords,breeding_habitat_count,area
0,dengue-cases-central,"[[103.84655938962, 1.33835592864932, 0.0], [103.846559399316, 1.34016465763331, 0.0], [103.848356518124, 1.34016464720476, 0.0], [103.848356507111, 1.33835591823486, 0.0], [103.84655938962, 1.33835592864932, 0.0]]",4,40269.282883511165
1,dengue-cases-central,"[[103.851950810471, 1.34739953784411, 0.0], [103.851950824211, 1.34920826664606, 0.0], [103.853747949583, 1.34920825213968, 0.0], [103.853747934517, 1.34739952335719, 0.0], [103.851950810471, 1.34739953784411, 0.0]]",2,40269.276654557085
2,dengue-cases-central,"[[103.884299493455, 1.36910380931713, 0.0], [103.884299531676, 1.37091253716851, 0.0], [103.886096672466, 1.37091249799713, 0.0], [103.886096632898, 1.36910377019745, 0.0], [103.884299493455, 1.36910380931713, 0.0]]",3,40269.23846274627
3,dengue-cases-central,"[[103.841168094861, 1.35644324088621, 0.0], [103.841168100683, 1.35825196963194, 0.0], [103.842965232797, 1.3582519630969, 0.0], [103.842965225641, 1.35644323435988, 0.0], [103.841168094861, 1.35644324088621, 0.0]]",1,40269.276396694775
4,dengue-cases-central,"[[103.846559536434, 1.36548686057736, 0.0], [103.846559546327, 1.36729558915537, 0.0], [103.84835668511, 1.36729557851563, 0.0], [103.848356673874, 1.3654868499517, 0.0], [103.846559536434, 1.36548686057736, 0.0]]",1,40269.27083038887
5,dengue-cases-central,"[[103.88070521442, 1.36910388348993, 0.0], [103.880705249945, 1.37091261143934, 0.0], [103.882502390835, 1.37091257498258, 0.0], [103.882502353962, 1.36910384708129, 0.0], [103.88070521442, 1.36910388348993, 0.0]]",2,40269.24291087082
6,dengue-cases-central,"[[103.859138875528, 1.30579870411741, 0.0], [103.859138893985, 1.30760743344167, 0.0], [103.86093598921, 1.30760741420428, 0.0], [103.860935969467, 1.30579868490664, 0.0], [103.859138875528, 1.30579870411741, 0.0]]",1,40269.290679584505
7,dengue-cases-central,"[[103.853747934517, 1.34739952335719, 0.0], [103.853747949583, 1.34920825213968, 0.0], [103.855545074935, 1.34920823629749, 0.0], [103.855545058542, 1.34739950753624, 0.0], [103.853747934517, 1.34739952335719, 0.0]]",1,40269.27574312184
8,dengue-cases-central,"[[103.841168171142, 1.37995671245074, 0.0], [103.841168177065, 1.38176544084039, 0.0], [103.842965326699, 1.38176543419218, 0.0], [103.842965319419, 1.37995670581124, 0.0], [103.841168171142, 1.37995671245074, 0.0]]",1,40269.26581911958
9,dengue-cases-central,"[[103.841168159321, 1.37633925558867, 0.0], [103.841168165228, 1.37814798403349, 0.0], [103.842965312148, 1.37814797740269, 0.0], [103.842965304886, 1.37633924896657, 0.0], [103.841168159321, 1.37633925558867, 0.0]]",1,40269.26746293071
10,dengue-cases-central,"[[103.87890700499, 1.31122460841419, 0.0], [103.878907037723, 1.31303333726852, 0.0], [103.880704136416, 1.31303330365146, 0.0], [103.880704102392, 1.31122457484345, 0.0], [103.87890700499, 1.31122460841419, 0.0]]",1,40269.27049517643
11,dengue-cases-central,"[[103.842965239963, 1.36006069180675, 0.0], [103.842965247139, 1.36186942048939, 0.0], [103.844762381919, 1.36186941258859, 0.0], [103.844762373405, 1.36006068391645, 0.0], [103.842965239963, 1.36006069180675, 0.0]]",1,40269.27434370884
