date,dengue
2009-01-01,0
2009-01-02,43
2009-01-03,0
2009-01-04,55
2009-01-05,26
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,83
2009-01-12,0
2009-01-13,89
2009-01-14,0
2009-01-15,0
2009-01-16,45
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,41
2009-01-22,39
2009-01-23,0
2009-01-24,0
2009-01-25,0
2009-01-26,0
2009-01-27,0
2009-01-28,0
2009-01-29,0
2009-01-30,0
2009-01-31,0
2009-02-01,69
2009-02-02,0
2009-02-03,0
2009-02-04,37
2009-02-05,50
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,47
2009-02-12,0
2009-02-13,47
2009-02-14,0
2009-02-15,0
2009-02-16,0
2009-02-17,0
2009-02-18,0
2009-02-19,100
2009-02-20,0
2009-02-21,0
2009-02-22,0
2009-02-23,0
2009-02-24,0
2009-02-25,49
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,56
2009-03-05,88
2009-03-06,85
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,71
2009-03-14,0
2009-03-15,0
2009-03-16,26
2009-03-17,0
2009-03-18,0
2009-03-19,19
2009-03-20,69
2009-03-21,85
2009-03-22,29
2009-03-23,0
2009-03-24,22
2009-03-25,25
2009-03-26,44
2009-03-27,49
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,0
2009-04-08,45
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,27
2009-04-15,42
2009-04-16,0
2009-04-17,23
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,48
2009-04-22,0
2009-04-23,37
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,27
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,41
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,35
2009-05-19,26
2009-05-20,0
2009-05-21,41
2009-05-22,29
2009-05-23,0
2009-05-24,30
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,26
2009-05-30,28
2009-05-31,63
2009-06-01,0
2009-06-02,0
2009-06-03,60
2009-06-04,0
2009-06-05,42
2009-06-06,0
2009-06-07,35
2009-06-08,73
2009-06-09,37
2009-06-10,0
2009-06-11,60
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,36
2009-06-16,0
2009-06-17,0
2009-06-18,37
2009-06-19,0
2009-06-20,48
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,32
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,23
2009-07-12,49
2009-07-13,0
2009-07-14,24
2009-07-15,0
2009-07-16,24
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,17
2009-07-22,16
2009-07-23,0
2009-07-24,42
2009-07-25,0
2009-07-26,26
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,22
2009-07-31,0
2009-08-01,28
2009-08-02,30
2009-08-03,20
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,100
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,28
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,15
2009-08-20,31
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,18
2009-09-03,0
2009-09-04,33
2009-09-05,0
2009-09-06,0
2009-09-07,43
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,72
2009-09-13,0
2009-09-14,29
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,43
2009-09-21,0
2009-09-22,0
2009-09-23,19
2009-09-24,0
2009-09-25,47
2009-09-26,0
2009-09-27,65
2009-09-28,20
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,18
2009-10-14,17
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,29
2009-10-21,23
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,20
2009-10-27,33
2009-10-28,0
2009-10-29,0
2009-10-30,35
2009-10-31,24
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,37
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,18
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,44
2009-11-15,28
2009-11-16,29
2009-11-17,15
2009-11-18,37
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,25
2009-12-03,0
2009-12-04,0
2009-12-05,0
2009-12-06,33
2009-12-07,14
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,30
2009-12-12,66
2009-12-13,0
2009-12-14,0
2009-12-15,0
