n_of_cases,st_add,lat,long,cluster_n,rec_cases_in_cluster,total_cases,date,month_num
4,bishan street 22 (block 232),1.358286,103.845226,1,24,83,150703,7
7,bishan street 22 (block 233),1.358639,103.8452589,1,24,83,150703,7
3,bishan street 22 (block 234),1.35839,103.845955,1,24,83,150703,7
1,bishan street 22 (block 235),1.358719,103.8464769,1,24,83,150703,7
4,bishan street 22 (block 236),1.359041,103.846849,1,24,83,150703,7
1,bishan street 22 (block 237),1.359335,103.847097,1,24,83,150703,7
2,bishan street 22 (block 293),1.356245,103.845879,1,24,83,150703,7
2,bishan street 23 (block 220),1.3575682,103.8487427,1,24,83,150703,7
1,bishan street 23 (block 222),1.3580692,103.8480787,1,24,83,150703,7
5,bishan street 23 (block 223),1.3585572,103.8480487,1,24,83,150703,7
4,bishan street 23 (block 224),1.358959,103.847773,1,24,83,150703,7
3,bishan street 23 (block 225),1.3586122,103.8475837,1,24,83,150703,7
3,bishan street 23 (block 226),1.3583732,103.8472117,1,24,83,150703,7
5,bishan street 23 (block 227),1.3581102,103.8470547,1,24,83,150703,7
4,bishan street 23 (block 228),1.3580362,103.846719,1,24,83,150703,7
9,bishan street 23 (block 229),1.357598,103.845974,1,24,83,150703,7
4,bishan street 23 (block 230),1.357382,103.846217,1,24,83,150703,7
1,bishan street 23 (block 231),1.357349,103.84573,1,24,83,150703,7
2,bishan street 24 (block 273b),1.3560303,103.8434882,1,24,83,150703,7
3,bishan street 24 (block 288),1.357031,103.8449766,1,24,83,150703,7
2,bishan street 24 (block 289),1.356681,103.844702,1,24,83,150703,7
1,bishan street 24 (block 290),1.356075,103.8446707,1,24,83,150703,7
12,bishan street 25 (clover by the park),1.359709,103.845988,1,24,83,150703,7
3,bishan street 22 (block 238),1.3599139,103.8445555,2,18,50,150703,7
1,bishan street 22 (block 239),1.3604789,103.8447241,2,18,50,150703,7
1,bishan street 22 (block 241),1.360768,103.845452,2,18,50,150703,7
1,bishan street 22 (block 242),1.361363,103.8447429,2,18,50,150703,7
2,bishan street 22 (block 244),1.360458,103.84425,2,18,50,150703,7
1,bishan street 22 (block 245),1.3603019,103.843984,2,18,50,150703,7
3,bishan street 22 (block 246),1.360755,103.843208,2,18,50,150703,7
1,bishan street 22 (block 249),1.361342,103.843341,2,18,50,150703,7
5,bishan street 22 (block 250),1.361656,103.8436849,2,18,50,150703,7
4,bishan street 22 (block 252),1.362015,103.843689,2,18,50,150703,7
3,bishan street 22 (block 253),1.36222,103.84304,2,18,50,150703,7
1,bishan street 22 (block 254),1.361944,103.842985,2,18,50,150703,7
5,bishan street 22 (block 255),1.3616511,103.8427482,2,18,50,150703,7
2,bishan street 22 (block 256),1.3613379,103.8426495,2,18,50,150703,7
3,bishan street 22 (block 257),1.3597779,103.8429936,2,18,50,150703,7
1,bishan street 22 (block 259),1.359987,103.842162,2,18,50,150703,7
3,bishan street 22 (block 262),1.3592891,103.8424712,2,18,50,150703,7
3,bishan street 22 (block 263),1.3591761,103.8418962,2,18,50,150703,7
2,bishan street 24 (block 264),1.3587372,103.8421016,2,18,50,150703,7
1,bishan street 24 (block 265),1.3583707,103.8422445,2,18,50,150703,7
1,bishan street 24 (block 268),1.357625,103.84197,2,18,50,150703,7
1,bishan street 24 (block 270),1.356979,103.842072,2,18,50,150703,7
2,bishan street 24 (block 287),1.3577654,103.8438438,2,18,50,150703,7
27,yishun avenue 1 (the estuary),1.410617,103.831094,3,5,30,150703,7
2,yishun street 81 (block 816),1.4118704,103.8333253,3,5,30,150703,7
1,yishun street 81 (block 819),1.4127209,103.834119,3,5,30,150703,7
2,everitt road,1.312548,103.9028469,4,3,12,150703,7
10,tembeling road,1.3105306,103.902828,4,3,12,150703,7
3,jalan cherpen,1.4370059,103.8275255,5,5,12,150703,7
8,jalan hikayat,1.4380608,103.8274023,5,5,12,150703,7
1,jalan sajak,1.4380174,103.8286473,5,5,12,150703,7
2,jalan soo bee,1.3367693,103.9512748,6,4,8,150703,7
1,sea breeze avenue,1.3374709,103.9527096,6,4,8,150703,7
1,sea breeze road,1.337084,103.951915,6,4,8,150703,7
2,sea breeze walk,1.338254,103.951443,6,4,8,150703,7
1,simei street 1 (block 102),1.341361,103.951189,6,4,8,150703,7
1,simei street 3 (eastpoint green),1.339385,103.950767,6,4,8,150703,7
4,flora road (avila gardens),1.360519,103.965464,7,5,6,150703,7
1,flora road (estella gardens),1.359935,103.96715,7,5,6,150703,7
1,jalan chelagi,1.361481,103.965166,7,5,6,150703,7
1,cheviot hill,1.3162271,103.9213051,8,3,5,150703,7
1,siglap avenue south,1.3165914,103.9197579,8,3,5,150703,7
1,siglap bank,1.3180259,103.9206618,8,3,5,150703,7
1,siglap drive,1.316548,103.920496,8,3,5,150703,7
1,siglap walk,1.317491,103.919961,8,3,5,150703,7
3,jurong west central 1 (block 681b),1.344886,103.7049064,9,3,5,150703,7
1,jurong west central 1 (block 681c),1.3444644,103.7046901,9,3,5,150703,7
1,jurong west central 1 (block 682b),1.3436316,103.7055792,9,3,5,150703,7
1,ghim moh road (block 3),1.312165,103.7874,10,3,4,150703,7
2,ghim moh road (block 17),1.309907,103.787271,10,3,4,150703,7
1,ghim moh road (block 19),1.311556,103.7884055,10,3,4,150703,7
3,jurong east street 31 (block 322),1.347998,103.72948,11,4,4,150703,7
1,jurong east street 31 (block 323),1.348349,103.729147,11,4,4,150703,7
1,serangoon avenue 2 (block 236a),1.353988,103.86923,12,3,4,150703,7
1,serangoon central drive (block 253),1.353708,103.870912,12,3,4,150703,7
1,serangoon central drive (block 256),1.355083,103.871318,12,3,4,150703,7
1,serangoon central drive (block 258),1.355148,103.87275,12,3,4,150703,7
1,tampines avenue 7 (block 391),1.355875,103.958032,13,2,4,150703,7
1,tampines street 33 (block 358),1.354327,103.960943,13,2,4,150703,7
1,tampines street 34 (block 363),1.355777,103.960731,13,2,4,150703,7
1,tampines street 34 (the eden at tampines),1.3495907,103.9567879,13,2,4,150703,7
1,tampines street 21 (block 233),1.3563909,103.947332,14,2,4,150703,7
1,tampines street 21 (block 234),1.3558453,103.9481605,14,2,4,150703,7
1,tampines street 41 (block 415),1.359479,103.946873,14,2,4,150703,7
1,tampines street 41 (block 419),1.357849,103.9466659,14,2,4,150703,7
1,montreal drive ((block 588a),1.45066,103.82555,15,2,3,150703,7
2,montreal link (block 590c),1.4507579,103.8269603,15,2,3,150703,7
2,sin ming walk,1.364827,103.8319609,16,2,3,150703,7
1,sin ming walk (the gardens at bishan),1.3643965,103.8323741,16,2,3,150703,7
3,tampines street 32 (block 305),1.352429,103.9557279,17,3,3,150703,7
1,woodlands drive 14 (block 524),1.4326679,103.793864,18,1,3,150703,7
1,woodlands drive 14 (block 529),1.431708,103.792796,18,1,3,150703,7
1,woodlands drive 44 (block 549),1.4317629,103.794424,18,1,3,150703,7
1,aljunied crescent (block 100),1.3209439,103.883992,19,2,2,150703,7
1,aljunied crescent (block 110),1.319943,103.884262,19,2,2,150703,7
1,bedok reservoir view (aquarius by the park),1.338017,103.93588,20,2,2,150703,7
1,bedok reservoir view (the clearwater),1.337496,103.934178,20,2,2,150703,7
2,bukit timah road (the nexus),1.333969,103.786645,21,2,2,150703,7
2,choa chu kang avenue 3,1.3806072,103.7420974,22,2,2,150703,7
1,choa chu kang north 6 (block 635),1.397412,103.7495244,23,1,2,150703,7
1,choa chu kang street 64 (block 641),1.398275,103.749692,23,1,2,150703,7
1,circuit road (block 49),1.325142,103.88555,24,2,2,150703,7
1,circuit road (block 69),1.3250459,103.8874078,24,2,2,150703,7
1,compassvale link (block 268c),1.384657,103.8960479,25,2,2,150703,7
1,sengkang central (block 271b),1.385503,103.894588,25,2,2,150703,7
1,holland hill (parvis),1.310196,103.800207,26,2,2,150703,7
1,jalan hitam manis,1.3085269,103.7982957,26,2,2,150703,7
2,hougang avenue 5 (block 309),1.36622,103.89496,27,2,2,150703,7
2,hougang street 92 (regent ville),1.374262,103.878479,28,2,2,150703,7
1,jalan bukit merah (block 132),1.2788704,103.8281769,29,1,2,150703,7
1,jalan bukit merah (block 136),1.2782948,103.8273475,29,1,2,150703,7
2,jalan rebana,1.3630485,103.8283267,30,2,2,150703,7
2,jalan rumia,1.3112436,103.797587,31,2,2,150703,7
1,punggol central (block 162a),1.3966125,103.9142326,32,2,2,150703,7
1,punggol central (block 162b),1.3964229,103.9146717,32,2,2,150703,7
1,punggol central,1.401057,103.9086729,33,2,2,150703,7
1,punggol field (block 196c),1.399299,103.9075189,33,2,2,150703,7
1,river valley road (valley park),1.293426,103.827895,34,2,2,150703,7
1,river valley road (valley point),1.293049,103.826925,34,2,2,150703,7
2,spottiswoode park road,1.2751802,103.837186,35,2,2,150703,7
2,strathmore avenue (block 61b),1.293867,103.812103,36,1,2,150703,7
1,tampines street 45 (block 488b),1.360462,103.957117,37,2,2,150703,7
1,tampines street 45 (block 489a),1.36103,103.957262,37,2,2,150703,7
1,tanah merah kechil road south (tanah merah mansions),1.3217794,103.9468467,38,1,2,150703,7
1,jalan limau bali,1.323531,103.948189,38,1,2,150703,7
2,walmer drive,1.3653387,103.8691882,39,2,2,150703,7
1,woodlands drive 14 (block 514),1.4347896,103.7895217,40,2,2,150703,7
1,woodlands drive 14 (block 515),1.4349314,103.7903092,40,2,2,150703,7
1,yishun avenue 2 (block 791),1.4205563,103.8334686,41,2,2,150703,7
1,yishun ring road (block 796),1.419719,103.833325,41,2,2,150703,7
1,yishun avenue 4 (block 653),1.4231802,103.8396304,42,2,2,150703,7
1,yishun street 61 (block 645),1.4219296,103.8381954,42,2,2,150703,7
1,bishan street 22 (block 231),1.3559111,103.846361,1,14,112,150716,7
5,bishan street 22 (block 232),1.358286,103.845226,1,14,112,150716,7
8,bishan street 22 (block 233),1.358639,103.8452589,1,14,112,150716,7
6,bishan street 22 (block 234),1.35839,103.845955,1,14,112,150716,7
1,bishan street 22 (block 235),1.358719,103.8464769,1,14,112,150716,7
4,bishan street 22 (block 236),1.359041,103.846849,1,14,112,150716,7
1,bishan street 22 (block 237),1.359335,103.847097,1,14,112,150716,7
2,bishan street 22 (block 293),1.356245,103.845879,1,14,112,150716,7
1,bishan street 23 (block 214),1.3575192,103.8482117,1,14,112,150716,7
1,bishan street 23 (block 215),1.3571562,103.8486292,1,14,112,150716,7
4,bishan street 23 (block 220),1.3575682,103.8487427,1,14,112,150716,7
1,bishan street 23 (block 222),1.3580692,103.8480787,1,14,112,150716,7
5,bishan street 23 (block 223),1.3585572,103.8480487,1,14,112,150716,7
5,bishan street 23 (block 224),1.358959,103.847773,1,14,112,150716,7
4,bishan street 23 (block 225),1.3586122,103.8475837,1,14,112,150716,7
5,bishan street 23 (block 226),1.3583732,103.8472117,1,14,112,150716,7
8,bishan street 23 (block 227),1.3581102,103.8470547,1,14,112,150716,7
5,bishan street 23 (block 228),1.3580362,103.846719,1,14,112,150716,7
11,bishan street 23 (block 229),1.357598,103.845974,1,14,112,150716,7
5,bishan street 23 (block 230),1.357382,103.846217,1,14,112,150716,7
6,bishan street 23 (block 231),1.357349,103.84573,1,14,112,150716,7
2,bishan street 24 (block 273b),1.3560303,103.8434882,1,14,112,150716,7
1,bishan street 24 (block 281),1.3574276,103.8447371,1,14,112,150716,7
3,bishan street 24 (block 288),1.357031,103.8449766,1,14,112,150716,7
2,bishan street 24 (block 289),1.356681,103.844702,1,14,112,150716,7
1,bishan street 24 (block 290),1.356075,103.8446707,1,14,112,150716,7
14,bishan street 25 (clover by the park),1.359709,103.845988,1,14,112,150716,7
4,bishan street 22 (block 238),1.3599139,103.8445555,2,19,89,150716,7
1,bishan street 22 (block 239),1.3604789,103.8447241,2,19,89,150716,7
2,bishan street 22 (block 240),1.3607708,103.8450674,2,19,89,150716,7
2,bishan street 22 (block 241),1.360768,103.845452,2,19,89,150716,7
2,bishan street 22 (block 242),1.361363,103.8447429,2,19,89,150716,7
2,bishan street 22 (block 244),1.360458,103.84425,2,19,89,150716,7
1,bishan street 22 (block 245),1.3603019,103.843984,2,19,89,150716,7
3,bishan street 22 (block 246),1.360755,103.843208,2,19,89,150716,7
1,bishan street 22 (block 248),1.361375,103.843189,2,19,89,150716,7
1,bishan street 22 (block 249),1.361342,103.843341,2,19,89,150716,7
8,bishan street 22 (block 250),1.361656,103.8436849,2,19,89,150716,7
4,bishan street 22 (block 252),1.362015,103.843689,2,19,89,150716,7
5,bishan street 22 (block 253),1.36222,103.84304,2,19,89,150716,7
2,bishan street 22 (block 254),1.361944,103.842985,2,19,89,150716,7
8,bishan street 22 (block 255),1.3616511,103.8427482,2,19,89,150716,7
4,bishan street 22 (block 256),1.3613379,103.8426495,2,19,89,150716,7
6,bishan street 22 (block 257),1.3597779,103.8429936,2,19,89,150716,7
3,bishan street 22 (block 258),1.3597881,103.8427067,2,19,89,150716,7
4,bishan street 22 (block 259),1.359987,103.842162,2,19,89,150716,7
1,bishan street 22 (block 260),1.3605002,103.8425779,2,19,89,150716,7
7,bishan street 22 (block 261),1.358972,103.8433847,2,19,89,150716,7
3,bishan street 22 (block 262),1.3592891,103.8424712,2,19,89,150716,7
3,bishan street 22 (block 263),1.3591761,103.8418962,2,19,89,150716,7
1,bishan street 22 (block 283),1.3589226,103.8440768,2,19,89,150716,7
1,bishan street 22 (block 285),1.3588704,103.8438374,2,19,89,150716,7
3,bishan street 24 (block 264),1.3587372,103.8421016,2,19,89,150716,7
1,bishan street 24 (block 265),1.3583707,103.8422445,2,19,89,150716,7
1,bishan street 24 (block 268),1.357625,103.84197,2,19,89,150716,7
1,bishan street 24 (block 270),1.356979,103.842072,2,19,89,150716,7
1,bishan street 24 (block 272),1.356551,103.842798,2,19,89,150716,7
1,bishan street 24 (block 278),1.3570819,103.843752,2,19,89,150716,7
2,bishan street 24 (block 287),1.3577654,103.8438438,2,19,89,150716,7
27,yishun avenue 1 (the estuary),1.410617,103.831094,3,2,33,150716,7
2,yishun street 81 (block 816),1.4118704,103.8333253,3,2,33,150716,7
3,yishun street 81 (block 819),1.4127209,103.834119,3,2,33,150716,7
1,yishun street 81 (block 824),1.413424,103.833514,3,2,33,150716,7
5,jalan cherpen,1.4370059,103.8275255,4,13,28,150716,7
15,jalan hikayat,1.4380608,103.8274023,4,13,28,150716,7
2,jalan kemuning,1.4413896,103.8267765,4,13,28,150716,7
3,jalan sajak,1.4380174,103.8286473,4,13,28,150716,7
2,jalan shaer,1.4387492,103.8272485,4,13,28,150716,7
1,jalan salang,1.4392696,103.8259988,4,13,28,150716,7
8,flora road (avila gardens),1.360519,103.965464,5,4,13,150716,7
1,flora road (dahlia park condominium),1.359332,103.965309,5,4,13,150716,7
1,flora road (estella gardens),1.359935,103.96715,5,4,13,150716,7
2,flora drive (carissa park condominium),1.358807,103.963636,5,4,13,150716,7
1,jalan chelagi,1.361481,103.965166,5,4,13,150716,7
1,woodlands drive 14 (block 522),1.4338948,103.7938202,6,7,11,150716,7
7,woodlands drive 14 (block 523),1.4330436,103.7940595,6,7,11,150716,7
1,woodlands drive 44 (block 549),1.4317629,103.794424,6,7,11,150716,7
1,woodlands drive 53 (block 554),1.4321157,103.7965435,6,7,11,150716,7
1,woodlands drive 53 (block 555),1.432289,103.795813,6,7,11,150716,7
5,sea breeze avenue,1.3374709,103.9527096,7,5,8,150716,7
1,sea breeze walk,1.338254,103.951443,7,5,8,150716,7
2,simei street 3 (eastpoint green),1.339385,103.950767,7,5,8,150716,7
1,yishun avenue 5 (block 703),1.4296592,103.8286817,8,5,7,150716,7
1,yishun avenue 5 (block 704),1.4293745,103.8289534,8,5,7,150716,7
2,yishun avenue 5 (block 708),1.4287637,103.8270805,8,5,7,150716,7
1,yishun avenue 5 (block 733),1.429703,103.830708,8,5,7,150716,7
1,yishun avenue 5 (block 740),1.4301371,103.8320349,8,5,7,150716,7
1,yishun ring road (block 140),1.4311799,103.8303959,8,5,7,150716,7
1,tampines street 32 (block 302),1.352554,103.95511,9,2,6,150716,7
1,tampines street 32 (block 303),1.351956,103.955739,9,2,6,150716,7
3,tampines street 32 (block 305),1.352429,103.9557279,9,2,6,150716,7
1,tampines street 32 (block 306),1.3532137,103.9557492,9,2,6,150716,7
2,tanah merah kechil road south (tanah merah mansions),1.3217794,103.9468467,10,3,6,150716,7
2,jalan limau bali,1.323531,103.948189,10,3,6,150716,7
2,limau garden,1.3223613,103.9491761,10,3,6,150716,7
1,canberra drive (eight courtyards),1.438249,103.831106,11,5,5,150716,7
2,canberra drive (yishun emerald),1.438881,103.830484,11,5,5,150716,7
2,canberra drive (yishun sapphire),1.439248,103.829882,11,5,5,150716,7
1,jalan angklong,1.3630056,103.8288126,12,2,5,150716,7
2,jalan rebana,1.3630485,103.8283267,12,2,5,150716,7
2,jalan seruling,1.3641843,103.828645,12,2,5,150716,7
1,pasir ris street 12 (block 190),1.36568,103.958428,13,3,5,150716,7
1,pasir ris street 12 (block 191),1.365906,103.958577,13,3,5,150716,7
2,pasir ris street 12 (block 195),1.366395,103.9600339,13,3,5,150716,7
1,pasir ris street 12 (block 198),1.366791,103.960163,13,3,5,150716,7
1,choa chu kang avenue 2 (block 251),1.378315,103.744578,14,2,4,150716,7
1,choa chu kang avenue 2 (block 252),1.378041,103.744949,14,2,4,150716,7
2,hong san walk (palm gardens),1.3145118,103.9304426,14,2,4,150716,7
4,holland hill (parvis),1.310196,103.800207,15,4,4,150716,7
1,lorong chuan (chuan park),1.352407,103.864376,16,3,4,150716,7
2,serangoon avenue 3 (the springbloom),1.351081,103.863362,16,3,4,150716,7
1,serangoon avenue 2 (block 309),1.353784,103.8651229,16,3,4,150716,7
3,lorong k telok kurau (palm galleria),1.312927,103.911708,17,3,4,150716,7
1,telok kurau road (cadence light),1.312433,103.911002,17,3,4,150716,7
1,montreal drive ((block 588a),1.45066,103.82555,18,1,4,150716,7
3,montreal link (block 590c),1.4507579,103.8269603,18,1,4,150716,7
1,bedok north avenue 4 (block 88),1.3324691,103.9378094,19,1,3,150716,7
1,bedok north avenue 4 (block 100),1.334289,103.938127,19,1,3,150716,7
1,bedok north avenue 4 (block 106),1.334534,103.936829,19,1,3,150716,7
2,geylang road,1.313431,103.883767,20,2,3,150716,7
1,lorong 26 geylang (guilin court),1.31215,103.8846,20,2,3,150716,7
3,new upper changi road (block 26),1.3233469,103.9343062,21,2,3,150716,7
1,tai hwan avenue,1.3566041,103.8613028,22,2,3,150716,7
2,tai hwan close,1.3578833,103.8608111,22,2,3,150716,7
